Model,MSE,RÂ² Score,Saved
Ensemble Stack,462.779608419501,0.5607660551494449,Yes
Random Forest,470.3745906221223,0.5535574964030467,Yes
Ensemble AVG,507.07750049510145,0.5187219859403872,No
KNN,639.3411455902817,0.3931877542272041,Yes
MLP,648.8667896415665,0.3841467633586191,Yes
XGBoost,703.0598021730473,0.3327110253864297,Yes
Elastic Net,784.1247892013331,0.2557705262937894,No
Lasso,784.1247892013331,0.2557705262937894,Yes
Ridge,784.6147777573798,0.25530546775947094,No
SVR,972.7094830329133,0.07678079229714196,No
